Description,Alternate_Description,Minimum Charge,,Day Charge,Manufacturer,,
Cement Mixer Wheelbarrow,,34,,34,,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=cement+mixer+2+cu+ft%2C+electric%2C+Kushlan&oq=cement+mixer+2+cu+ft%2C+electric%2C+Kushlan&gs_l=psy-ab.3...19639.26597.0.26840.16.16.0.0.0.0.85.1126.16.16.0....0...1.1.64.psy-ab..0.0.0.0.KrC-wYjdaGk&safe=active&ssui=on#imgrc=cFHNMmXFyfcQUM:,
"cement mixer 6cu ft, gas, towable",,48,,48,MultiQuip,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=cement+mixer+6cu+ft%2C+gas%2C+towable&oq=cement+mixer+6cu+ft%2C+gas%2C+towable&gs_l=psy-ab.3...43251.44019.0.45491.2.2.0.0.0.0.145.267.0j2.2.0....0...1.1.64.psy-ab..0.0.0.0.n8QTgvHhA_w&safe=active&ssui=on#imgdii=lnt7W_UP4Uf4aM:&imgrc=xU-4rm-lcSFiZM:,ns
"morter mixer 5cu ft, gas, towable",,58,,58,,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=mortar+mixer+6cu+ft%2C+gas%2C+towable&oq=mortar+mixer+6cu+ft%2C+gas%2C+towable&gs_l=psy-ab.3...55146.56277.0.56486.6.6.0.0.0.0.99.488.6.6.0....0...1.1.64.psy-ab..0.0.0.dPMjtQU-Mig&safe=active&ssui=on#imgrc=iWJb6Y0lIbF_HM:,
"concrete vibrator 4', electric",,35,,50,,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=concrete+vibrator+4%27%2C+electric&oq=concrete+vibrator+4%27%2C+electric&gs_l=psy-ab.3...31186.32071.0.33426.2.2.0.0.0.0.198.258.1j1.2.0....0...1.1.64.psy-ab..0.0.0.0.Wd6qtUugp04&safe=active&ssui=on#imgrc=plGVFQH0DTc-hM:,ns
"concrete vibrator 10', electric",,35,,50,,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=concrete+vibrator+10%27%2C+electric&oq=concrete+vibrator+10%27%2C+electric&gs_l=psy-ab.3...72436.73109.0.73297.3.3.0.0.0.0.91.228.3.3.0....0...1.1.64.psy-ab..0.1.90...0i30k1j0i8i30k1.cAL7fpJNyMU&safe=active&ssui=on#imgrc=plGVFQH0DTc-hM:,
"concrete vibrator 20', electric",,45,,70,,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=concrete+vibrator+20%27%2C+electric&oq=concrete+vibrator+20%27%2C+electric&gs_l=psy-ab.3...21608.23049.0.23250.4.4.0.0.0.0.78.297.4.4.0....0...1.1.64.psy-ab..0.1.77...0i30k1j0i8i30k1.yj2eyWVXsj8&safe=active&ssui=on#imgrc=yOU3w3z8bbjvYM:,ns
" concrete saw 12""  ",,37,,49,,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=concrete+saw+12%22+w%2Fvac&oq=concrete+saw+12%22+w%2Fvac&gs_l=psy-ab.3...84095.85441.0.86246.2.2.0.0.0.0.72.139.2.2.0....0...1.1.64.psy-ab..0.0.0.0.4vj7QIJzJOg&safe=active&ssui=on#imgrc=wF7hL9E9g9VymM:,
"concrete saw 12"" w/vac",,72,,95,,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=concrete+saw+12%22+w%2Fvac&oq=concrete+saw+12%22+w%2Fvac&gs_l=psy-ab.3...84095.85441.0.86246.2.2.0.0.0.0.72.139.2.2.0....0...1.1.64.psy-ab..0.0.0.0.4vj7QIJzJOg&safe=active&ssui=on#imgrc=w0rz_TZesz601M:,
concrete vacuum for concrete saw, ,33,,45,Hilti,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=concrete+hilti+vac&oq=concrete+hilti+vac&gs_l=psy-ab.3...203303.207103.0.208143.15.12.3.0.0.0.154.1180.7j5.12.0....0...1.1.64.psy-ab..0.11.885...0j0i8i30k1.I5q2RhR3Krw&safe=active&ssui=on#imgrc=pkpqfjTknmRntM:,
"concrete saw hand held, 14"", gas ",,50,,70,Stihl  ,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=concrete+saw+hand+held%2C+14%22%2C+gas+&oq=concrete+saw+hand+held%2C+14%22%2C+gas+&gs_l=psy-ab.3...92733.93283.0.95635.2.2.0.0.0.0.77.138.2.2.0....0...1.1.64.psy-ab..0.0.0.0.7DkP70SqZ08&safe=active&ssui=on#imgrc=4A8lc7r6Rww5iM:,
"concrete saw, 16"", walk behind, gas",,50,,80,Edco,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=concrete+saw%2C+16%22%2C+walk+behind%2C+gas+Edco&oq=concrete+saw%2C+16%22%2C+walk+behind%2C+gas+Edco&gs_l=psy-ab.3...1247.3061.0.3317.5.5.0.0.0.0.125.422.3j2.5.0....0...1.1.64.psy-ab..0.0.0.QP8HpQpbgAc&safe=active&ssui=on#imgrc=Cit4xhjFEFJ7eM:,
"Diamond Blade,16"", blade asphalt/concrete","asphalt, concrete",35,,60,,No image available,
"Concrete chain saw 12"" , Gas (chain extra)",,67,,90,ICS,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=Concrete+chain+saw+12%22+%2C+Gas+%28chain+extra%29&oq=Concrete+chain+saw+12%22+%2C+Gas+%28chain+extra%29&gs_l=psy-ab.3...44327.45048.0.46149.2.2.0.0.0.0.159.237.1j1.2.0....0...1.1.64.psy-ab..0.0.0.0.HcV2VO1mc1A&safe=active&ssui=on#imgrc=vqjgHJNv8vc-LM:,ns
"concrete chipping hammer, 30lb, electric ",,35,,48,Bosch,"https://www.google.com/search?q=concrete+chipping+hammer,+30lb,+electric&source=lnms&tbm=isch&sa=X&ved=0ahUKEwjCuIbi_4TWAhVM_mMKHShJCwQQ_AUICigB&biw=1920&bih=901&safe=active&ssui=on#imgrc=G3Vf75Zq45YwZM:",
"jack hammer, 60lb, electric", ,54,,69,Brute,"https://www.google.com/search?q=concrete+chipping+hammer,+30lb,+electric&source=lnms&tbm=isch&sa=X&ved=0ahUKEwjCuIbi_4TWAhVM_mMKHShJCwQQ_AUICigB&biw=1920&bih=901&safe=active&ssui=on#imgrc=8zR1g33KF5jt5M:",
"Jack hammer, 60lb, electric, Turbo (extra Heavy Duty)", ,62,,77,Bosch,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=Jack+hammer%2C+60lb%2C+electric%2C+Turbo+&oq=Jack+hammer%2C+60lb%2C+electric%2C+Turbo+&gs_l=psy-ab.3...23932.58847.0.59530.210.40.0.0.0.0.166.2362.25j3.28.0....0...1.1.64.psy-ab..203.0.0.0.6bgQoS5l5ak&safe=active&ssui=on#imgrc=G2z1VINRnTnxUM:,
"hand trowel, concrete",,8,,8,Kraft Tools,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=hand+trowel%2C+concrete&oq=hand+trowel%2C+concrete&gs_l=psy-ab.3..0j0i8i30k1j0i24k1.23828.24438.0.25278.2.2.0.0.0.0.88.172.2.2.0....0...1.1.64.psy-ab..0.1.88.0.sbRhhw5WGDo&safe=active&ssui=on#imgrc=gpuFhHudHztiuM:,
"jitterbug tamper, concrete",,10,,10,Kraft Tools,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=jitterbug%2C+concrete&oq=jitterbug%2C+concrete&gs_l=psy-ab.3..0l2j0i30k1j0i24k1.20216.21880.0.22503.2.2.0.0.0.0.94.171.2.2.0....0...1.1.64.psy-ab..0.1.94.0.N-nEtKyOr5A&safe=active&ssui=on#imgrc=UfnVQqF_uNecEM:,
"roto hammer, small, electric",,27,,36,Bosch,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=roto+hammer%2C+small%2C+electric&oq=roto+hammer%2C+small%2C+electric&gs_l=psy-ab.3...16017.17517.0.17839.2.2.0.0.0.0.87.151.2.2.0....0...1.1.64.psy-ab..0.0.0.0.s66AzQc9trY&safe=active&ssui=on#imgrc=J0EBu7BnAtyVQM:,ns
roto hammer small bits,,6,,6,Bosch,No image available,
"roto hammer, large, electric",,35,,47,Bosch,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=roto+hammer%2C+large%2C+electric&oq=roto+hammer%2C+large%2C+electric&gs_l=psy-ab.3...14529.14981.0.15309.2.2.0.0.0.0.70.129.2.2.0....0...1.1.64.psy-ab..0.0.0.0.tkYKfmReu3A&safe=active&ssui=on#imgrc=Ck_UgEvUjNQYzM:,
roto hammer large bits,,10,,20,Bosch,No image available,
powder actuated stud gun (shots extra),,19,,27,Ramset,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=powder+actuated+stud+gun+ramset&oq=powder+actuated+stud+gun+ramset&gs_l=psy-ab.3...5112.6983.0.7246.7.7.0.0.0.0.82.480.7.7.0....0...1.1.64.psy-ab..0.0.0.w7VYn0ttc-E&safe=active&ssui=on#imgrc=RPyors7xGU067M:,
"power trowel, 36"", gas",,44,,59,MBW,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=power+trowel%2C+36%22%2C+gas&oq=power+trowel%2C+36%22%2C+gas&gs_l=psy-ab.3...80358.80778.0.81142.2.2.0.0.0.0.74.134.2.2.0....0...1.1.64.psy-ab..0.0.0.0.fCFZOs6PK-s&safe=active&ssui=on#imgrc=o13Ymhx5T1Yp6M:,
"rebar cutter/bender, manual",,25,,25, ,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=rebar+cutter%2Fbender%2C+manual&oq=rebar+cutter%2Fbender%2C+manual&gs_l=psy-ab.3...19117.19499.0.19860.2.2.0.0.0.0.63.119.2.2.0....0...1.1.64.psy-ab..0.0.0.0.WMfZauzTFOU&safe=active&ssui=on#imgrc=Bnw_VAMx6FLTSM:,
"pole edger, concrete",,10,,10,Kraft Tools,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=pole+edger%2C+concrete&oq=pole+edger%2C+concrete&gs_l=psy-ab.3...26986.27437.0.27787.2.2.0.0.0.0.91.167.2.2.0....0...1.1.64.psy-ab..0.0.0.0.oBjFsT8M718&safe=active&ssui=on#imgrc=KRbPfFBCG5ussM:,
"Core Drill, electric  1""- 6"" bit capacity",,45,,80,Husquvarna,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=Core+Drill%2C+electric++1%22-+6%22+bit+capacity&oq=Core+Drill%2C+electric++1%22-+6%22+bit+capacity&gs_l=psy-ab.3...28961.29274.0.29894.2.2.0.0.0.0.70.132.2.2.0....0...1.1.64.psy-ab..0.0.0.0.7Dti99EJjqw&safe=active&ssui=on#imgrc=YUkfbIWrXSanqM:,
Core Drill Stand,,22,,30,Husquvarna,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=Core+Drill%2C+electric++stand&oq=Core+Drill%2C+electric++stand&gs_l=psy-ab.3...39474.40552.0.41052.5.5.0.0.0.0.79.358.5.5.0....0...1.1.64.psy-ab..0.0.0.BfLtIH_9FjA&safe=active&ssui=on#imgrc=0F8OG2SE7SZW5M:,
Core Drill Extension,,19,,19,Husquvarna,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=Core+Drill%2C+electric+extension&oq=Core+Drill%2C+electric+extension&gs_l=psy-ab.3...39963.42695.0.43101.10.10.0.0.0.0.98.729.10.10.0....0...1.1.64.psy-ab..0.0.0.hx6Rpuv88-E&safe=active&ssui=on#imgrc=sPso6-iryKG5GM:,
"Core Drill Bit 1""",,30,,30,Husquvarna,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=Core+Drill+Bit+1%22&oq=Core+Drill+Bit+1%22&gs_l=psy-ab.3...20995.21525.0.22107.2.2.0.0.0.0.68.129.2.2.0....0...1.1.64.psy-ab..0.0.0.0.q1YPDtQeiuA&safe=active&ssui=on#imgrc=A3RVkqM2PZ7JTM:,
"Core Drill Bit 1.5""",,35,,35,Husquvarna,https://www.google.com/search?tbm=isch&q=Husqvarna+Core+Drill+Bit+1.5%22&spell=1&sa=X&ved=0ahUKEwjt_sL6gYXWAhVG_WMKHV3GAfAQvwUIIigA&biw=1920&bih=901&dpr=1&safe=active&ssui=on#imgrc=8mwX_FPYQNf3nM:,
"Core Drill Bit 2""",,40,,40,Husquvarna,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=Husqvarna+Core+Drill+Bit+2%22&oq=Husqvarna+Core+Drill+Bit+2%22&gs_l=psy-ab.3...39391.40457.0.40930.3.3.0.0.0.0.74.207.3.3.0....0...1.1.64.psy-ab..0.0.0.FIlBv1sGIFY&safe=active&ssui=on#imgrc=CswZwRtYM4A61M:,
"Core Drill Bit 2.5""",,45,,45,Husquvarna,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=Husqvarna+Core+Drill+Bit+2.5%22&oq=Husqvarna+Core+Drill+Bit+2.5%22&gs_l=psy-ab.3...20003.20254.0.20464.2.2.0.0.0.0.68.135.2.2.0....0...1.1.64.psy-ab..0.0.0.TLyixNJxE-U&safe=active&ssui=on#imgrc=8mwX_FPYQNf3nM:,
"Core Drill Bit 3""",,48,,48,Husquvarna,https://www.amazon.com/Husqvarna-542780113-3-Inch-Diamond-Drill/dp/B00A4AJK3E/ref=sr_1_1?ie=UTF8&qid=1504304339&sr=8-1&keywords=husqvarna+core+drill+bit+3%22,
"Core Drill Bit 4""",,54,,54,Husquvarna,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=Husqvarna+Core+Drill+Bit+4%22&oq=Husqvarna+Core+Drill+Bit+4%22&gs_l=psy-ab.3...98039.99542.0.99834.4.4.0.0.0.0.79.302.4.4.0....0...1.1.64.psy-ab..0.0.0.mWfkU0pHMzA&safe=active&ssui=on#imgrc=CswZwRtYM4A61M:,
Core Drill Bit 4.5, ,60,,60,Husquvarna,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=Husqvarna+Core+Drill+Bit+4.5%22&oq=Husqvarna+Core+Drill+Bit+4.5%22&gs_l=psy-ab.3...18463.20367.0.20893.4.4.0.0.0.0.198.455.2j2.4.0....0...1.1.64.psy-ab..0.0.0.bWqor12AU6g&safe=active&ssui=on#imgrc=5y2Tbsa7KBqb4M:,
"Core Drill Bit 6""",,64,,64,Husquvarna,https://www.amazon.com/Wet-Coring-Bit-14-4-7/dp/B006ERQT3A/ref=sr_1_10?ie=UTF8&qid=1504304537&sr=8-10&keywords=Husqvarna+Core+Drill+Bit+6%22,
"Floor Grinder, Concrete, Dual Head, Electric, 110V ", ,150,,150,Edco,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=Floor+Grinder%2C+Concrete%2C+Dual+Head%2C+Electric%2C+110V+&oq=Floor+Grinder%2C+Concrete%2C+Dual+Head%2C+Electric%2C+110V+&gs_l=psy-ab.3...56674.59953.0.61425.2.2.0.0.0.0.85.155.2.2.0....0...1.1.64.psy-ab..0.0.0.0.OcHS3POZaAk&safe=active&ssui=on#imgrc=-LdodN-kLvRgkM:,
Floor Polishing Stones,,60,,60,,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=Floor+Polishing+Stones+Edco&oq=Floor+Polishing+Stones+Edco&gs_l=psy-ab.3...3944.5014.0.5262.5.5.0.0.0.0.85.339.5.5.0....0...1.1.64.psy-ab..0.0.0.Nn_XhVLTOSY&safe=active&ssui=on#imgrc=tu8MZlPG7tMGnM:,
"3/4 steel stake x24"" Forming Stake", ,1,,1,,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=3%2F4+steel+stake+x24%22+Forming+Stake&oq=3%2F4+steel+stake+x24%22+Forming+Stake&gs_l=psy-ab.3...61289.61659.0.62101.2.2.0.0.0.0.76.142.2.2.0....0...1.1.64.psy-ab..0.0.0.0.aFAMjGVtaQ0&safe=active&ssui=on#imgrc=8pogEKjpDih1SM:,
"3/4 steel stake x 30"" Forming Stake", ,1,,1,,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=3%2F4+steel+stake+x24%22+Forming+Stake&oq=3%2F4+steel+stake+x24%22+Forming+Stake&gs_l=psy-ab.3...61289.61659.0.62101.2.2.0.0.0.0.76.142.2.2.0....0...1.1.64.psy-ab..0.0.0.0.aFAMjGVtaQ0&safe=active&ssui=on#imgrc=8pogEKjpDih1SM:,
"3/4 steel stake x 36"" Forming Stake", ,1,,1,,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=3%2F4+steel+stake+x24%22+Forming+Stake&oq=3%2F4+steel+stake+x24%22+Forming+Stake&gs_l=psy-ab.3...61289.61659.0.62101.2.2.0.0.0.0.76.142.2.2.0....0...1.1.64.psy-ab..0.0.0.0.aFAMjGVtaQ0&safe=active&ssui=on#imgrc=8pogEKjpDih1SM:,
"Scarifier, Concrete, Gas, 8""", ,247,,247,Edco,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=Scarifier%2C+Concrete%2C+Gas%2C+8%22&oq=Scarifier%2C+Concrete%2C+Gas%2C+8%22&gs_l=psy-ab.3...27363.29438.0.30501.2.2.0.0.0.0.70.137.2.2.0....0...1.1.64.psy-ab..0.0.0.0.4tvPf4rhkUs&safe=active&ssui=on#imgrc=StGcIzzTc-WYxM:,
"Scrape-Boy, Floor Attachment for 17"" floor maintainer", ,25,,25,Virginia Abrasives,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=Scrape-Boy%2C+Floor+Attachment+for+17%22+floor+maintainer&oq=Scrape-Boy%2C+Floor+Attachment+for+17%22+floor+maintainer&gs_l=psy-ab.3...222602.223046.0.223989.2.2.0.0.0.0.462.849.3-1j1.2.0....0...1.1.64.psy-ab..0.0.0.0.1c60lF84W8k&safe=active&ssui=on#imgrc=5mW4OFxefEB_QM:,
"Dirt Conveyor, 24' , Electric", ,36,,36,,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=Dirt+Conveyor%2C+24%27+%2C+Electric&oq=Dirt+Conveyor%2C+24%27+%2C+Electric&gs_l=psy-ab.3...16044.17247.0.18177.2.2.0.0.0.0.197.391.0j2.2.0....0...1.1.64.psy-ab..0.0.0.0.gxsH074ymUQ&safe=active&ssui=on#imgrc=YazLz_iY1aWGXM:,
plasma cutter,,47,,47,,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=plasma+cutter&oq=plasma+cutter&gs_l=psy-ab.3..0l4.23386.25495.0.25998.2.2.0.0.0.0.188.351.0j2.2.0....0...1.1.64.psy-ab..0.1.163.0.IM8QRxT_jnM&safe=active&ssui=on#imgrc=BdplmI0h1yw7TM:,
"sheet metal shears, electric", ,15,,25,,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=sheet+metal+shears%2C+electric&oq=sheet+metal+shears%2C+electric&gs_l=psy-ab.3..0.16623.16975.0.17365.2.2.0.0.0.0.207.349.0j1j1.2.0....0...1.1.64.psy-ab..0.1.207.0.v1GBLs7fsoQ&safe=active&ssui=on#imgrc=sDLTVAW2EZ12TM:,
"Sheet metal nibbler,electric", ,15,,25,,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=Sheet+metal+nibbler%2Celectric&oq=Sheet+metal+nibbler%2Celectric&gs_l=psy-ab.3..0.24291.24661.0.24931.2.2.0.0.0.0.76.141.2.2.0....0...1.1.64.psy-ab..0.1.76.0.WZnJqx3jMWM&safe=active&ssui=on#imgrc=fmU_qFFhwn7T0M:,
soil pipe cutter, ,16,,26,,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=soil+pipe+cutter&oq=soil+pipe+cutter&gs_l=psy-ab.3..0j0i5i30k1j0i24k1l2.19135.19481.0.19859.2.2.0.0.0.0.128.198.1j1.2.0....0...1.1.64.psy-ab..0.1.127.0.skjCsg0R-2M&safe=active&ssui=on#imgrc=q1_r50ZLe2d8lM:,
"Stapler, electric",,18,,18,,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=Stapler%2C+electric&oq=Stapler%2C+electric&gs_l=psy-ab.3..0j0i8i30k1l3.51584.52074.0.52454.2.2.0.0.0.0.115.178.1j1.2.0....0...1.1.64.psy-ab..0.1.115.0.D6lavrVlhM8&safe=active&ssui=on#imgrc=F_ANZwvlf4tv-M:,
fish tape 200',,10,,10,,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=fish+tape+200%27&oq=fish+tape+200%27&gs_l=psy-ab.3...19543.20918.0.21380.2.2.0.0.0.0.65.125.2.2.0....0...1.1.64.psy-ab..0.0.0.0.EscQ9iGDxL8&safe=active&ssui=on#imgrc=dfL9VDqCSAb7IM:,
Flooring,,,,,,,
"Cutter, Carpet",,8,,8,,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=Cutter%2C+wall+Carpet&oq=Cutter%2C+wall+Carpet&gs_l=psy-ab.3...939104.939957.0.940443.5.5.0.0.0.0.102.390.4j1.5.0....0...1.1.64.psy-ab..0.1.101...0i13k1j0i8i13i30k1.xLFMO6m0A9M&safe=active&ssui=on#imgrc=yBW0Mfzrv8o-BM:,
"Wedge, Carpet",,8,,8,,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=Wedge%2C+Carpet&oq=Wedge%2C+Carpet&gs_l=psy-ab.3...59169.59593.0.59839.2.2.0.0.0.0.81.150.2.2.0....0...1.1.64.psy-ab..0.0.0.0.qYs8ZjW69zA&safe=active&ssui=on#imgrc=Sp8ttEj_Q3dtoM:,
"Dryer, Carpet, electric",,27.5,,27.5,https://www.google.com/search?q=essex+silverline+polisher&source=lnms&tbm=isch&sa=X&ved=0ahUKEwjY0Of0iPnVAhUjsVQKHc8IAMYQ_AUICigB&biw=1920&bih=950&safe=active&ssui=on#imgrc=yU6PDb6PpqVfaM:,,
"Iron, Carpet",,10,,15,,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=Iron%2C+Carpet&oq=Iron%2C+Carpet&gs_l=psy-ab.3..0j0i8i30k1l3.17452.17999.0.18268.2.2.0.0.0.0.89.158.2.2.0....0...1.1.64.psy-ab..0.1.88.0.adaA_eINbVY&safe=active&ssui=on#imgrc=ceRy7uzNblOAlM:,
"Knee Kicker, Carpet, Manual",,12,,12,https://www.google.com/search?q=essex+silverline+polisher&source=lnms&tbm=isch&sa=X&ved=0ahUKEwjY0Of0iPnVAhUjsVQKHc8IAMYQ_AUICigB&biw=1920&bih=950&safe=active&ssui=on#imgrc=fUCFYXwiOnK_cM:,,
"Stretcher, Carpet",,18,,30,,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=Stretcher%2C+Carpet&oq=Stretcher%2C+Carpet&gs_l=psy-ab.3..0i5i30k1j0i8i30k1l3.12870.13241.0.14244.2.2.0.0.0.0.164.256.1j1.2.0....0...1.1.64.psy-ab..0.1.163.0.sDONWmsfrcM&safe=active&ssui=on#imgrc=U_I9WCI3-xO2jM:,
"Shampooer, Carpet", ,21,,36,Silverstar,https://www.google.com/search?q=silverstar+carpet+cleaner&source=lnms&tbm=isch&sa=X&ved=0ahUKEwil2u--tNPVAhVCxWMKHdpHBKQQ_AUICygC&biw=1920&bih=950&safe=active&ssui=on#imgrc=GR-XSIRyxKDPhM:,
"Cutter, Flooring, Hardwood, Laminate, Manually Operated",,22.5,,22.5, ,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=Cutter%2C+Flooring%2C+Hardwood%2C+Laminate%2C+Manually+Operated&oq=Cutter%2C+Flooring%2C+Hardwood%2C+Laminate%2C+Manually+Operated&gs_l=psy-ab.3...25053.25423.0.25894.2.2.0.0.0.0.71.132.2.2.0....0...1.1.64.psy-ab..0.0.0.0.5SRgJYPk71Q&safe=active&ssui=on#imgrc=aXyfzopX6HuVnM:,
"Cutter, Tile, Manual",,12.5,,12.5,,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=Cutter%2C+Tile%2C+Manual&oq=Cutter%2C+Tile%2C+Manual&gs_l=psy-ab.3..0i8i30k1l3.1931.9849.0.10984.3.3.0.0.0.0.598.1118.1j5-2.3.0....0...1.1.64.psy-ab..0.1.515.0.POTWEuVYQkM&safe=active&ssui=on#imgrc=lVD7rhckTS419M:,
"Sander, Belt, 3 x 12, Electric, paper not included",,,,,https://www.google.com/search?q=essex+silverline+polisher&source=lnms&tbm=isch&sa=X&ved=0ahUKEwjY0Of0iPnVAhUjsVQKHc8IAMYQ_AUICigB&biw=1920&bih=950&safe=active&ssui=on#imgrc=ij47tBQpeqveCM:,,
"Sander, Drum, Electric, Paper not included",,42,,56,Essex Silverline,https://www.google.com/search?q=essex+silverline+polisher&source=lnms&tbm=isch&sa=X&ved=0ahUKEwjY0Of0iPnVAhUjsVQKHc8IAMYQ_AUICigB&biw=1920&bih=950&safe=active&ssui=on#imgrc=PLO0ZFzvuuhv0M:,
"Sander, Edger, Electric, Paper not included",,,,,Essex Silverline,https://www.google.com/search?q=essex+silverline+polisher&source=lnms&tbm=isch&sa=X&ved=0ahUKEwjY0Of0iPnVAhUjsVQKHc8IAMYQ_AUICigB&biw=1920&bih=950&safe=active&ssui=on#imgrc=s48RmilgIrOoxM:,
"Sander, Drum/Edger combo, electric",,69,,92,Essex Silverline,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=Floor+Sander+w%2F+Sanding+Driver%2C+16%22%2C+Electric&oq=Floor+Sander+w%2F+Sanding+Driver%2C+16%22%2C+Electric&gs_l=psy-ab.3...33633.34242.0.34542.2.2.0.0.0.0.130.260.0j2.2.0....0...1.1.64.psy-ab..0.0.0.0.qL9543ije3c&safe=active&ssui=on#imgrc=rWAQvqIbEBkO3M:,
"Sander, Deck, Orbital 12 x 18, Elcetric, Paper not included ",,42,,55,Essex Silverline,https://www.google.com/search?q=essex+silverline+polisher&source=lnms&tbm=isch&sa=X&ved=0ahUKEwjY0Of0iPnVAhUjsVQKHc8IAMYQ_AUICigB&biw=1920&bih=950&safe=active&ssui=on#imgrc=_Wz_MUBrUswR-M:,
"Floor Sander w/ Sanding Driver, 16"", Electric","floor sander driver 16""",40,,50,Essex Silverline,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=16%22+floor+sander+clark&oq=16%22+floor+sander+clark&gs_l=psy-ab.3...7471.9540.0.9980.6.6.0.0.0.0.83.428.6.6.0....0...1.1.64.psy-ab..0.0.0.Oh0NMHDJM9A&safe=active&ssui=on#imgrc=a4HYtdbIb1oLpM:,
"sanding attachment ,17"" ",,10,,10,,No Image Available,
"Polisher, Floor, 13"", Electric ",,19,,25,https://www.google.com/search?q=essex+silverline+polisher&source=lnms&tbm=isch&sa=X&ved=0ahUKEwjY0Of0iPnVAhUjsVQKHc8IAMYQ_AUICigB&biw=1920&bih=950&safe=active&ssui=on#imgrc=gKwnfCdxJtmneM:,,
"Polisher, Floor, 17"", Electric ",,29,,39,,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=Polisher%2C+Floor%2C+17%22%2C+Electric+&oq=Polisher%2C+Floor%2C+17%22%2C+Electric+&gs_l=psy-ab.3...33669.34581.0.34979.2.2.0.0.0.0.68.135.2.2.0....0...1.1.64.psy-ab..0.0.0.0.LP8KyveAgbA&safe=active&ssui=on#imgrc=lkufnD-Cm0asEM:,
"Polisher, Floor, 20"", Electric",,43,,55,,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=Polisher%2C+Floor%2C+20%22%2C+Electric&oq=Polisher%2C+Floor%2C+20%22%2C+Electric&gs_l=psy-ab.3...21090.21861.0.22050.4.4.0.0.0.0.76.284.4.4.0....0...1.1.64.psy-ab..0.1.72...0i30k1.wgswz8XRU0Q&safe=active&ssui=on#imgrc=vRS_ed0tSAiWSM:,
